"id","name","slug","description","image","width","height","price","stock","createdAt","updatedAt"
1610,"Species II","species-ii","Et farligt eksperiment skaber en ny trussel, mens forskere forsøger at forhindre væsnerne i at overtage jorden.","https://info.kinorevuen.dk/wp-content/uploads/2021/02/species-2.jpg",62,85,70,2,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1612,"Life of Brian","life-of-brian","&#8216;Life of Brian&#8217; er en af Monty Pythons mest kendte film.
Dansk biografpremiere 11.11.1979
Plakaten har buk/folder.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/life-of-brian-p.jpg",62,85,300,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1616,"Django Vent ikke - Skyd!","django-vent-ikke-skyd","Dansk biografpremiere 1967
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/django-vent-ikke-skyd.jpg",62,85,150,0,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1618,"Conan den Uovervindelige","conan-den-uovervindelige","Amerikansk episk sværd og troldmandsfilm fra 1984 instrueret af Richard Fleischer.
Medvirkende: Arnold Schwarzenegger, Grace Jones, Sven-Ole Thorsen.
Dansk biografpremiere 28.09.1984
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/conan-den-u-plk.jpeg",62,85,250,0,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1620,"Car Wash","car-wash","Car Wash er en amerikansk komediefilm fra 1976.  Filmen var instrueret af Michael Schultz fra et manus af Joel Schumacher.
Dansk biografpremiere 1977
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/car-wash-pl.jpg",62,85,100,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1624,"Høj Puls","hoej-puls","Kultfilmen ´Høj puls´ er en klaustrofobisk thriller i samme tradition som ‘Kvinden uden samvittighed’ med William Hurt og Kathleen Turner i de bærende roller.
Dansk biografpremiere 1982
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/hoj-puls-plk.jpg",62,85,150,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1629,"Øjeblikket","oejeblikket","Efter sin store publikumssucces med filmatiseringen af &#8220;Vinterbørn&#8221; (1978) ville Astrid Henning-Jensen igen behandle et væsentligt og alvorligt emne i en form, der henvendte sig til et bredt publikum. Hun skrev selv historien om den kræftsyge kvinde.
Medvirkende: Ann-Mari Max Hansen, Søren Spanning.
Instruktør: Astrid Henning-Jensen
Dansk biografpremiere 06.10.1980
Plakaten har buk/folder
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/plakat-ojeblikket.jpg",62,85,70,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1633,"Venner for Altid","venner-for-altid","Stefan Henszelman debuterede som spillefilminstruktør med &#8220;Venner for altid&#8221;. Filmen var imidlertid en udbygning af hans meget roste novellefilm fra 1985, &#8220;Venner forever&#8221;. 
Dansk biografpremiere 06.02.1987
Plakaten har buk/folder
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/venner-for-plk.png",62,85,70,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1636,"Klodernes Kamp","klodernes-kamp","H.G. Wells gyserroman om en invasioin fra Mars på jorden bliver endnu mere skræmmende i denne science Fiction klassiker fra 1952, der af mange betragtes som en af de største Science Fiction-film nogensinde.
Dansk biografpremiere 07.04.1954
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/klodernes-kamp-org-plakat.jpg",62,85,1400,0,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1639,"Dirty Harry Går Amok","dirty-harry-gaar-amok","&#8220;Dirty Harry går amok&#8221; er en amerikansk actionfilm fra 1973. Det er den anden film i Dirty Harry-serien med Clint Eastwood i hovedrollen som politimanden Harry Callahan. 
Dansk biografpremiere 11.03.1974
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/dirty-h-g-a-plk-pdf.jpg",62,85,1000,-1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1641,"Dirty Harry Renser Ud","dirty-harry-renser-ud","Dirty Harry renser ud er en amerikansk actionfilm fra 1976. Det er den tredje film i Dirty Harry-serien. Den er instrueret af James Fargo.
Dansk biografpremiere 11.02.1977
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/dirty-h-renser-ud-plk-pdf.jpg",62,85,600,0,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1643,"Paranormal Activity 3","paranormal-activity-3","&#8216;Paranormal Activity 3&#8217; følger i sporet på to mildest talt indbringende dokumentarlignende, overnaturlige rædselsfilm.
Dansk biografpremiere 20.10.2011
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/pa3pla.jpg",69,101,50,4,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1645,"Ronal Barbaren","ronal-barbaren","&#8216;Ronal Barbaren&#8217; er produceret af holdet bag Terkel i knibe og Rejsen til Saturn.
Dansk biografpremiere 29.09.2011
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/ronalbarbarennyplak.jpg",69,101,50,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1647,"Drive","drive","Actionthriller af Nicolas Winding Refn, der tidligere har bragt os Pusher-trilogien, Bleeder, Bronson og Valhalla Rising.
Dansk biografpremiere 15.09.2011
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/driveplakat.jpg",69,101,100,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1649,"Fremad","fremad","Dansk biografpremiere 05.03.2020
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/fremadpla.jpg",69,101,70,4,"2023-01-30 04:06:47","2023-01-30 04:06:47"
